,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,,বেল,শ্রীফল,bɛl,ʃriɸɔlɔ,Bell,Quince,0.8571428571428571,0.5714285714285714,0.5327380952380952,0.6011904761904763,4.482142857142857,0.5982142857142857,0.8844274282455444,0.5538733005523682,0.9993348121643066,0.9986807107925416,0.93810624,0.7701293,0.99982023,0.99946547,synonym
1,,গুহা,মুরহা,guɦa,murɦa,Cave,Murha,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,0.9359173774719238,0.8975734114646912,0.9987619519233704,0.9985430240631104,0.94774675,0.94167066,0.99919266,0.9990634,hard_negative
2,,বায়ু,বালু,baju,balu,The wind,Sand,0.25,0.0,0.0572916666666666,0.0625,1.03125,0.0572916666666666,0.9515275359153748,0.7492033839225769,0.9997070431709292,0.999794602394104,0.92847157,0.80103093,0.9998272,0.99965036,hard_negative
3,,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,0.9187913537025452,0.9308871030807496,0.9989298582077026,0.999509572982788,0.9664444,0.95474905,0.9996022,0.9996595,hard_negative
4,,শুকান,শুগার,xukan,ʃuɡar,dry,Sugar,0.6,0.4,0.0708333333333333,0.0916666666666666,0.875,0.0708333333333333,0.9563595056533812,0.9153038263320924,0.9988070726394652,0.997780740261078,0.96322817,0.93454516,0.9994674,0.99953693,hard_negative
5,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,0.9282121658325196,0.8177294135093689,0.9988019466400146,0.9959301948547364,0.95272005,0.8622763,0.99960953,0.9977081,synonym
6,,শিল,গোলন্দাজ,xil,ɡolɔn̪d̪ad͡ʑ,rock,Gunner,0.9166666666666666,0.625,0.59375,0.6510416666666666,4.875,0.6510416666666666,0.8735323548316956,0.6217190623283386,0.9994765520095824,0.9985231161117554,0.9081493,0.72844946,0.99965,0.9990138,random
7,,সন্ধিয়া,সন্ধ্যা,xɔndʰija,ʃɔn̪d̪ʱæ,evening,Evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,0.9171110987663268,0.8175927400588989,0.998341143131256,0.9996277093887328,0.93400526,0.90107167,0.9991588,0.99970406,synonym
8,,ৰবিবাৰ,শনিবার,ɹɔbibaɹ,ʃɔn̪ibar,Sunday,Saturday,0.5,0.2857142857142857,0.0982142857142857,0.1130952380952381,1.946428571428572,0.0982142857142857,0.8924850821495056,0.6398525834083557,0.99695086479187,0.9979344606399536,0.9067409,0.74958235,0.99817777,0.998037,hard_negative
9,,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,0.97080796957016,0.8741615414619446,0.9959275722503662,0.9986647963523864,0.97640026,0.9314927,0.999249,0.999535,synonym
10,,ঢোল,দীঘল,ɖʱolɔ,digʱɔlɔ,Drums,long,0.5714285714285714,0.2,0.1958333333333333,0.2166666666666667,1.6,0.2166666666666667,0.8226786851882935,0.8007078766822815,0.9989827871322632,0.9997966885566713,0.97803307,0.95500284,0.99891245,0.99984425,hard_negative
11,,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.94549560546875,0.8770114183425903,0.9984038472175598,0.9998828768730164,0.98127735,0.96633285,0.99991727,0.99987334,hard_negative
12,,পোলা,পলা,pola,pɔla,Pola,Escape,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.8528889417648315,0.8518495559692383,0.9995611310005188,0.99965101480484,0.98345506,0.96515965,0.9997943,0.9999297,hard_negative
13,,মার্জার,বিলাই,mard͡ʑar,bilai,Marger,distribute,0.875,0.5,0.2465277777777777,0.2986111111111111,3.0416666666666665,0.2604166666666666,0.9465122818946838,0.7115889191627502,0.9989848732948304,0.9969008564949036,0.98436135,0.9570638,0.9998837,0.9997701,synonym
14,,খাদ্য,কাগজ,kʰad̪d͡zɔ,kagɔzɔ,Food,Paper,0.5555555555555556,0.4,0.0958333333333333,0.1083333333333333,2.15,0.0958333333333333,0.555935800075531,0.6658709049224854,0.998562514781952,0.9998629689216614,0.9723258,0.9572718,0.9998654,0.9999073,hard_negative
15,,আতশ,আগুনি,at̪ɔʃɔ,aguni,Fire,Fire,0.8333333333333334,0.4,0.2916666666666666,0.3083333333333333,2.95,0.3083333333333333,0.8963941335678101,0.7806501388549805,0.9964653253555298,0.9988848567008972,0.9863541,0.9680278,0.9998739,0.9998534,synonym
16,,মকাই,মকৰা,mɔkai,mɔkɔɹa,Maize,Spiders,0.5,0.1666666666666666,0.1944444444444444,0.2083333333333333,1.6666666666666667,0.2083333333333333,0.896424412727356,0.8279783129692078,0.9993443489074708,0.9992622137069702,0.98797846,0.95596004,0.9999379,0.9999016,hard_negative
17,,হিয়া,জীয়া,ɦie̯a,zija,Heart,live,0.6,0.25,0.0572916666666666,0.0729166666666666,1.0,0.0572916666666666,0.959812581539154,0.8763942718505859,0.9995986223220824,0.9988160133361816,0.9808568,0.965731,0.99976325,0.9998075,hard_negative
18,,বাজ,বাট,bad͡ʑ,bat,Lightning,The road,0.6,0.3333333333333333,0.0694444444444444,0.0694444444444444,0.6666666666666666,0.0694444444444444,0.9414497017860411,0.879669725894928,0.9995757341384888,0.9997680783271792,0.9927141,0.9780152,0.99991256,0.99993104,hard_negative
19,,বিড়াল,বিলৈ,biɽalɔ,bilɔɪ,Cats,to the b,0.5,0.1666666666666666,0.2291666666666666,0.2569444444444444,2.083333333333333,0.2430555555555555,0.9392690062522888,0.8170949816703796,0.9981418251991272,0.9981998205184937,0.9917826,0.9707416,0.9998549,0.9998051,synonym
