,Word,Is loan?
0,babul,X
7,detergent,
12,tricycle,X
27,chef,X
34,capriole,X
36,domaine,
38,chaud-froid,X
46,mouche,X
64,tierceron,
69,coudiere,X
70,Pelland,X
77,Rene,X
82,simar,
93,saucisson,X
108,roman à clef,X
143,Charleroi,X
156,crème fraîche,X
163,jaspé,X
165,souvenir,X
166,deviant,
173,javanais,X
179,négligée,X
182,pièce montée,X
183,punt,
190,éclair,X
193,succès fou,X
196,Laos,
198,Lamotte,
211,terne,
222,rapporteur,X
223,sapeur,X
239,pierrotage,X
241,parvenu,
243,point d'appui,X
261,prepose,X
263,de Lesseps,X
271,Charron,
273,fromage,X
283,Tourcoing,X
286,paupiette,X
287,bateau,X
288,pain aux raisins,X
298,Perusse,X
320,areole,
321,restaurateur,
333,abandonment,
335,rocambole,X
339,crinoline,
359,cafetière,X
361,ramp,
377,emery,
381,chantefable,X
389,commissariat,X
402,decalcomanie,
432,Romaine,
434,bavaroise,X
437,emigre,
441,cham,
452,clapper,
453,Watremez,
454,cataclysm,
463,sanitary,X
471,cheville,X
474,faluche,X
475,Linne,
487,Traverse,
491,proletaire,
493,agglutination,
504,jet,
505,Chaource,X
506,née,X
507,bastille,X
511,Foix,X
514,dégagé,X
524,au contraire,X
536,tarte flambée,X
538,mirepoix,X
544,Bône,X
546,denature,
548,dragonné,X
560,mistelle,
564,Bourguignon,X
565,torrent,
574,observant,
583,Charpentier,X
595,ruelle,X
607,intrigante,
609,Binedama,
611,Meknes,
613,livre,X
615,saignée,X
616,brochure,
617,Arpajon,
629,fer-de-lance,X
630,disinter,
633,félibre,X
634,moiré,X
643,centrifuge,
648,monokini,
653,deplace,X
655,Cognac,X
657,fiber,
679,externat,
683,misère,X
688,cereal,X
689,balayeuse,
703,duramenisation,
706,Girardot,
714,avertissement nucléaire,X
715,Grall,
723,corps-a-corps,X
729,battement,
731,Polypheme,
749,Icard,X
757,furtive,
763,cendrée,X
773,Robillard,
786,maniac,X
788,abatjour,X
802,jeremiad,
806,fait accompli,X
814,Art Nouveau,X
818,intrication,
848,extrinsic,
850,gibbon,
877,Lefort,X
879,currant,X
896,strass,
900,Desaulniers,X
907,Debrosse,X
915,petroglyph,
929,raclette,X
943,embarrass,
947,bigot,X
971,pomme frite,X
972,Dupuit,X
978,existentialism,
984,Lemans,
992,endocrinology,
998,fouetté,X
1017,pièce d'occasion,X
1023,tarte Tatin,X
1029,solenoid,
1045,aileron,
1049,badaud,X
1053,dolerite,X
1070,pastis,
1072,nouveau riche,X
1081,Chantal,X
1101,Abenaki,
1102,lapalissade,X
1104,confidant,
1130,demoiselle,X
1133,Nivôse,X
1141,melongene,
1142,Trudel,X
1148,Faneuil,X
1150,elegante,X
1153,feminism,
1163,Haury,
1165,compte rendu,X
1169,Béjaïa,X
1175,horizontal,
1179,erudit,
1182,Marechal,X
1188,Germinal,
1194,homolog,
1196,beau sabreur,X
1214,decapitate,X
1218,avertissement,
1219,Cadillac,
1224,isolation,
1232,gourmandise,
1238,Vernet,X
1241,grot,
1242,mamelière,X
1250,emollient,
1252,glacé,X
1253,département,
1254,prospectus,
1259,passéist,X
1263,limitrophe,X
1264,exergue,
1280,espagnolette,
1296,fauvette,X
1304,mouton enragé,X
1305,Pelot,X
1307,fadaise,
1308,lieu,X
1315,Theberge,
1316,savoir-faire,X
1319,cambré,X
1323,amaranth,
1325,de Havilland,X
1326,calembour,X
1330,greffier,
1336,Poincaré,X
1337,talisman,
1339,corticine,X
1351,Piccard,
1352,yé-yé,
1354,coquet,X
1356,flasque,X
1357,Levallois,
1360,Naples,
1361,talapoin,
1371,bouleversement,X
1376,anatase,
1381,ballottement,
1384,en garde,X
1387,foulage,
1391,macédoine,X
1395,bride,
1408,croisade,X
1429,jujube,
1434,enmanché,X
1435,piedouche,X
1467,paillard,
1485,angelot,
1489,baldaquin,
1494,crème anglaise,X
1501,tourbillon,
1518,pourpointing,
1525,berdache,
1535,bombe,
1537,blet,
1538,Montlhéry,X
1543,coulis,X
1546,bras d'honneur,X
1549,saponule,
1551,Simoneau,
1566,trahison des clercs,X
1572,piloti,
1574,parquet,
1590,saucisse,X
1634,Mâcon,X
1642,Dilly,
1658,Bois,
1668,tutoyer,
1669,Verne,X
1679,cineast,
1682,Bouchard,
1685,attack,X
1686,bijection,
1693,Sorel,
1702,amende honorable,X
1705,virion,
1708,remontant,X
1712,bomb,
1718,Outaouais,
1719,charade,X
1739,faute de mieux,X
1754,integrable,
1757,bonbon,
1764,mal du siècle,X
1769,d'Amour,X
1777,lisse,
1779,dependant,
1782,barbet,
1795,sagacity,
1806,beau geste,X
1807,dortoir,X
1813,telecabin,
1825,lunule,
1828,Monestime,
1846,tinamou,
1854,pourpointerie,X
1885,pyroxene,
1889,acetylene,
1906,Harle,
1925,Sabat,
1929,grogram,
1930,pochette,X
1932,architecture,
1935,chalumeau,X
1941,trahison,
1946,Guion,
1954,Callovian,X
1963,Auger,
1966,chronique scandaleuse,X
1982,Freemantle,
1989,ammunition,
