,Word,Is loan?,,
0,babul,X,,
7,detergent,,,
12,tricycle,,,
27,chef,X,,
34,capriole,X,,
36,domaine,X,,
38,chaud-froid,X,,
46,mouche,X,,
64,tierceron,,,
69,coudiere,X,,
70,Pelland,,,
77,Rene,X,,
82,simar,,,
93,saucisson,,,
108,roman à clef,X,,
143,Charleroi,,,
156,crème fraîche,X,,
163,jaspé,,,
165,souvenir,X,,
166,deviant,,,
173,javanais,,,
179,négligée,X,,
182,pièce montée,X,,
183,punt,,,
190,éclair,X,,
193,succès fou,X,,
196,Laos,,,
198,Lamotte,X,,
211,terne,,,
222,rapporteur,,,
223,sapeur,,,
239,pierrotage,,,
241,parvenu,,,
243,point d'appui,X,,
261,prepose,,,
263,de Lesseps,,,
271,Charron,,,
273,fromage,,,
283,Tourcoing,,,
286,paupiette,,,
287,bateau,,,
288,pain aux raisins,X,,
298,Perusse,X,,
320,areole,,,
321,restaurateur,X,,
333,abandonment,,,
335,rocambole,,,
339,crinoline,X,,
359,cafetière,X,,
361,ramp,,,
377,emery,X,,
381,chantefable,,,
389,commissariat,X,,
402,decalcomanie,X,,
432,Romaine,,,
434,bavaroise,X,,
437,emigre,,,
441,cham,,,
452,clapper,,,
453,Watremez,,,
454,cataclysm,,,
463,sanitary,,,
471,cheville,,,
474,faluche,,,
475,Linne,X,,
487,Traverse,X,,
491,proletaire,X,,
493,agglutination,,,
504,jet,,,
505,Chaource,,,
506,née,X,,
507,bastille,X,,
511,Foix,,,
514,dégagé,X,,
524,au contraire,X,,
536,tarte flambée,,,
538,mirepoix,,,
544,Bône,X,,
546,denature,X,,
548,dragonné,X,,
560,mistelle,,,
564,Bourguignon,X,,
565,torrent,,,
574,observant,,,
583,Charpentier,X,,
595,ruelle,,,
607,intrigante,X,,
609,Binedama,,,
611,Meknes,,,
613,livre,,,
615,saignée,X,,
616,brochure,X,,
617,Arpajon,X,,
629,fer-de-lance,X,,
630,disinter,,,
633,félibre,,,
634,moiré,X,,
643,centrifuge,X,,
648,monokini,X,,
653,deplace,,,
655,Cognac,,,
657,fiber,,,
679,externat,,,
683,misère,X,,
688,cereal,X,,
689,balayeuse,,,
703,duramenisation,,,
706,Girardot,X,,
714,avertissement nucléaire,X,,
715,Grall,,,
723,corps-a-corps,X,,
729,battement,,,
731,Polypheme,X,,
749,Icard,,,
757,furtive,,,
763,cendrée,X,,
773,Robillard,,,
786,maniac,X,,
788,abatjour,X,,
802,jeremiad,,,
806,fait accompli,X,,
814,Art Nouveau,,,
818,intrication,,,
848,extrinsic,X,,
850,gibbon,,,
877,Lefort,X,,
879,currant,X,,
896,strass,X,,
900,Desaulniers,,,
907,Debrosse,,,
915,petroglyph,X,,
929,raclette,X,,
943,embarrass,,,
947,bigot,X,,
971,pomme frite,X,,
972,Dupuit,X,,
978,existentialism,,,
984,Lemans,,,
992,endocrinology,X,,
998,fouetté,X,,
1017,pièce d'occasion,X,,
1023,tarte Tatin,,,
1029,solenoid,X,,
1045,aileron,X,,
1049,badaud,x,,
1053,dolerite,X,,
1070,pastis,X,,
1072,nouveau riche,X,,
1081,Chantal,X,,
1101,Abenaki,X,,
1102,lapalissade,,,
1104,confidant,X,,
1130,demoiselle,,,
1133,Nivôse,X,,
1141,melongene,,,
1142,Trudel,X,,
1148,Faneuil,X,,
1150,elegante,X,,
1153,feminism,X,,
1163,Haury,X,,
1165,compte rendu,,,
1169,Béjaïa,X,,
1175,horizontal,X,,
1179,erudit,X,,
1182,Marechal,,,
1188,Germinal,,,
1194,homolog,X,,
1196,beau sabreur,X,,
1214,decapitate,X,,
1218,avertissement,X,,
1219,Cadillac,X,,
1224,isolation,X,,
1232,gourmandise,,,
1238,Vernet,X,,
1241,grot,X,,
1242,mamelière,X,,
1250,emollient,X,,
1252,glacé,X,,
1253,département,X,,
1254,prospectus,,,
1259,passéist,X,,
1263,limitrophe,X,,
1264,exergue,,,
1280,espagnolette,,,
1296,fauvette,,,
1304,mouton enragé,X,,
1305,Pelot,X,,
1307,fadaise,X,,
1308,lieu,X,,
1315,Theberge,,,
1316,savoir-faire,X,,
1319,cambré,X,,
1323,amaranth,X,,
1325,de Havilland,X,,
1326,calembour,X,,
1330,greffier,,,
1336,Poincaré,X,,
1337,talisman,X,,
1339,corticine,,,
1351,Piccard,X,,
1352,yé-yé,X,,
1354,coquet,,,
1356,flasque,X,,
1357,Levallois,X,,
1360,Naples,X,,
1361,talapoin,X,,
1371,bouleversement,,,
1376,anatase,X,,
1381,ballottement,X,,
1384,en garde,,,
1387,foulage,,,
1391,macédoine,,,
1395,bride,X,,
1408,croisade,X,,
1429,jujube,X,,
1434,enmanché,X,,
1435,piedouche,X,,
1467,paillard,,,
1485,angelot,,,
1489,baldaquin,,,
1494,crème anglaise,X,,
1501,tourbillon,,,
1518,pourpointing,,,
1525,berdache,,,
1535,bombe,X,,
1537,blet,X,,
1538,Montlhéry,X,,
1543,coulis,,,
1546,bras d'honneur,X,,
1549,saponule,,,
1551,Simoneau,,,
