,Word,Is loan?
0,babul,
7,detergent,
12,tricycle,X
27,chef,X
34,capriole,X
36,domaine,
38,chaud-froid,X
46,mouche,X
64,tierceron,X
69,coudiere,X
70,Pelland,
77,Rene,X
82,simar,
93,saucisson,
108,roman à clef,X
143,Charleroi,
156,crème fraîche,X
163,jaspé,X
165,souvenir,X
166,deviant,
173,javanais,
179,négligée,
182,pièce montée,
183,punt,X
190,éclair,
193,succès fou,
196,Laos,
198,Lamotte,
211,terne,X
222,rapporteur,X
223,sapeur,
239,pierrotage,
241,parvenu,
243,point d'appui,
261,prepose,
263,de Lesseps,
271,Charron,
273,fromage,X
283,Tourcoing,
286,paupiette,
287,bateau,
288,pain aux raisins,X
298,Perusse,
320,areole,
321,restaurateur,X
333,abandonment,
335,rocambole,
339,crinoline,
359,cafetière,X
361,ramp,
377,emery,X
381,chantefable,X
389,commissariat,X
402,decalcomanie,
432,Romaine,X
434,bavaroise,
437,emigre,
441,cham,
452,clapper,
453,Watremez,
454,cataclysm,
463,sanitary,
471,cheville,X
474,faluche,X
475,Linne,X
487,Traverse,
491,proletaire,
493,agglutination,
504,jet,
505,Chaource,X
506,née,X
507,bastille,X
511,Foix,X
514,dégagé,X
524,au contraire,
536,tarte flambée,X
538,mirepoix,
544,Bône,
546,denature,
548,dragonné,
560,mistelle,
564,Bourguignon,
565,torrent,
574,observant,
583,Charpentier,
595,ruelle,
607,intrigante,
609,Binedama,
611,Meknes,
613,livre,X
615,saignée,X
616,brochure,X
617,Arpajon,
629,fer-de-lance,X
630,disinter,X
633,félibre,X
634,moiré,X
643,centrifuge,
648,monokini,X
653,deplace,
655,Cognac,
657,fiber,
679,externat,
683,misère,X
688,cereal,X
689,balayeuse,X
703,duramenisation,
706,Girardot,
714,avertissement nucléaire,X
715,Grall,
723,corps-a-corps,
729,battement,X
731,Polypheme,
749,Icard,
757,furtive,
763,cendrée,X
773,Robillard,
786,maniac,X
788,abatjour,X
802,jeremiad,
806,fait accompli,X
814,Art Nouveau,X
818,intrication,
848,extrinsic,
850,gibbon,
877,Lefort,X
879,currant,
896,strass,
900,Desaulniers,
907,Debrosse,X
915,petroglyph,
929,raclette,X
943,embarrass,X
947,bigot,
971,pomme frite,X
972,Dupuit,
978,existentialism,
984,Lemans,
992,endocrinology,
998,fouetté,X
