,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,आसान,آژان,aːsaːn,ɒʒɒn,Ease,آژان,4,-0.94957334,0.8456178903579712,0.7359282374382019,hard_negative
1,All_languages,दुकान,دوکان,dukaːn,dvkɒn,shop,The shop,5,0.61779016,0.6667181849479675,0.6316902041435242,hard_negative
2,All_languages,mentalité,mortalité,mentalité*é,mɔʀtalite,mentality,mortality,2,-4.379655400000001,0.8196972608566284,0.716711163520813,hard_negative
3,All_languages,laïcité,Raîche,laïcité*é,ʀaiʃ,secularism,Raîche,5,-1.9878359,0.8310784697532654,0.5731210112571716,random
4,All_languages,esteem,estime,ɛˈstim,ɛstim,esteem,valued,3,-1.6945263,0.7725653648376465,0.7645785808563232,synonym
5,All_languages,Magnon,madone,magnon*,madɔn,Magnon,madone,4,-2.162703,0.7349123954772949,0.8019434213638306,hard_negative
6,All_languages,fumoir,fouloir,fumoir*,fulwaʀ,smoking room,fouloir,2,-3.6012584999999997,0.9523349404335022,0.8195347189903259,hard_negative
7,All_languages,Hate,Haine,heɪt,ɛn,Hate,Clothes,2,-2.1527154,0.747757613658905,0.8071771860122681,synonym
8,All_languages,mise,miché,mise*,miʃe,mise,miche,3,-1.6273379,0.7066563963890076,0.7038135528564453,hard_negative
9,All_languages,tzigane,Sion,tzigane*,sjɔ̃,gypsy,Sion,5,-1.3634531,0.9999998807907104,1.0,random
10,All_languages,Combine,Combiner,ˈkɑmbaɪn,kɔ̃binəʀ,Combine,Combiner,1,-4.5216403,1.0,1.0,synonym
11,All_languages,sound,son,saʊnd,sɔ̃,sound,son,2,-2.2996469,0.9391102790832521,0.6314008235931396,synonym
12,All_languages,Laporte,Lapointe,ləˈpɔrt,lapɔɛ̃t,Laporte,The point,2,-1.2363158,0.9356424808502196,0.7935870289802551,hard_negative
13,All_languages,petty,petit,ˈpɛˌti,pəti,petty,petit,2,-2.1977363,0.7977946996688843,0.5606569051742554,synonym
14,All_languages,gorgière,Aurélie,gorgière*,oʀeli,gorgière,Aurelie,6,-1.2027583,0.7937698960304259,0.548085629940033,hard_negative
15,All_languages,Cecile,style,sɪˈsil,stil,Cecile,style,4,-0.8607857,0.9999998211860656,1.0,hard_negative
16,All_languages,paysage,passé,paysage*,pase,countryside,passé,4,0.3181695,0.5759491920471191,0.7147098183631897,hard_negative
17,All_languages,gimp,chyme,gimp*,ʃim,gimp,chyme,4,-1.2506845,0.7821339964866638,0.6068286299705505,hard_negative
18,All_languages,pensée,passé,pensée*,pase,thought,passé,3,-1.1890924999999999,0.5127449035644531,0.6773954629898071,hard_negative
19,All_languages,Sudden,Soudain,ˈsədən,sudɛ̃,Sudden,Suddenly,3,-2.539777,0.9999995231628418,1.0,synonym
20,All_languages,emblematic,antiémétique,ˌɛmbləˈmætɪk,ɑ̃sjemetik,emblematic,antiemetic,9,3.455887,0.8610177636146545,0.7498394250869751,hard_negative
21,All_languages,praasu,pretto,prɑːsu,prɛtuː,please,pretto,4,-1.1004491000000003,0.8084334135055542,0.7300841212272644,hard_negative
22,All_languages,revyy,stava,reʋyː,stɑːvɑː,roaring,stood,5,-2.0930016,0.8061158061027527,0.5897403359413147,random
23,All_languages,letargia,letargi,letɑrɡiɑ,leːtɐrjiː,lethargy,lethargic,1,-4.886348,0.7880728244781494,0.8334411978721619,synonym
24,All_languages,mansetti,manchester,mɑnsetti,mɐnɧɛsteːr,handcuffs,manchester,5,-0.7586006999999999,0.6890339255332947,0.892144501209259,hard_negative
25,All_languages,Espoo,inpå,espoː,ɪnpoː,Espoo,inpå,4,-0.36534202,0.8710961341857909,0.4519814252853394,hard_negative
26,All_languages,kokki,Kicki,kokki,ɕiːkɕiː,cook,Kicki,3,-1.9426221000000001,0.8642140030860901,0.6935623288154602,hard_negative
27,All_languages,маршал,маркер,mɑrʃɑl,markʲer,marshal,marker,3,-0.036036603,0.7737494707107544,0.6657949686050415,hard_negative
28,All_languages,деконструкция,демонстративно,djekonstrwktsijjɑ,dʲemonstratʲivno,deconstruction,demonstratively,7,5.1692867,0.7988843321800232,0.7482102513313293,hard_negative
29,All_languages,автоспорт,абдуктант,ɑvtosport,abduktant,motorsport,abductant,7,2.3362529999999997,0.6746698617935181,0.7388010621070862,hard_negative
30,All_languages,психолог,гликоген,psijχoloɡ,ɡlʲikoɡen,psychologist,glycogen,6,0.9653805,0.8660705685615541,0.5590688586235046,random
31,All_languages,музыка,бодяга,mwzəkɑ,bodʲaɡa,music,bodyaga,5,0.19355193,1.0,1.0,hard_negative
32,All_languages,полимер,волейбол,polijmjer,volʲejbol,polymer,volleyball,6,-0.41172564,0.8770163059234619,0.7178714871406555,hard_negative
33,All_languages,Marine,laquais,mɑːʀiːnə,lakɛ,Marine,lackey,6,-1.7068429,0.4701768755912781,0.6144270896911621,random
34,All_languages,Enquete,exocet,əŋkveːtə,əɡzɔzɛ,Survey,exocet,5,-1.9872072,0.8892122507095337,0.673007071018219,hard_negative
35,All_languages,Base,Sale,bɑːsə,sal,Base,Sale,2,-3.9676172999999997,0.7429986000061035,0.621496856212616,synonym
