,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,xlm_cos,label
0,All languages,পোনা,পানা,pʊna,pan̪a,Pona,Pana,0.4,0.0,0.0625,0.0625,0.625,0.0625,1,0.8521267771720886,hard_negative
1,All languages,গুহা,মুরহা,guɦa,murɦa,Cave,Murha,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,2,0.8975734114646912,hard_negative
2,All languages,বাল,বালক,bal,balɔkɔ,Baal,Boy,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.6674975752830505,synonym
3,All languages,কাঁচ,কাঁধ,kãsɔ,kãd̪ʱɔ,Glass,Shoulders,0.5,0.0,0.03125,0.03125,0.375,0.03125,1,0.8913552761077881,hard_negative
4,All languages,কাহ,কাহই,kaɦ,kaɦi,cough,Anyway,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.7603997588157654,hard_negative
5,All languages,ঠেং,ঠেঙ,tʰɛŋ,ʈʰeŋ,The tail,Stretch,0.5,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,1,0.8869635462760925,hard_negative
6,All languages,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95912504196167,synonym
7,All languages,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,1,0.9308871030807496,hard_negative
8,All languages,কুটুম,কুসুম,kutum,kuʃum,Family,Kusum,0.2,0.0,0.025,0.025,0.35,0.025,1,0.8922144770622253,hard_negative
9,All languages,কাছু,কানু,kasu,kan̪u,Something,Kanu,0.4,0.25,0.0520833333333333,0.0520833333333333,1.0,0.0520833333333333,1,0.8996228575706482,hard_negative
