,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,আঁক,পাঁক,ãkɔ,pãkɔ,Draw,Mud,0.25,0.3333333333333333,0.2239583333333333,0.25,1.8125,0.25,0.9115161,0.9324068,0.9994885,0.99967927,hard_negative
1,All languages,কুটুম,কুসুম,kutum,kuʃum,Family,Kusum,0.2,0.0,0.025,0.025,0.35,0.025,0.96543384,0.9558033,0.99959075,0.998106,hard_negative
2,All languages,মুঠ,মুত,mutʰ,mut̪,total,Mut,0.25,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,0.94078535,0.93154657,0.9993549,0.9993695,hard_negative
3,All languages,মিঠা,মিতা,mitʰa,mit̪a,sweet,Mita,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9553218,0.8993622,0.99953985,0.9996288,hard_negative
4,All languages,কলা,একলা,kɔla,ekɔla,Banana,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,0.9631312,0.8844983,0.99974847,0.99941283,hard_negative
5,All languages,বাট,বাত,bat,bat̪,The road,Arthritis,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9636425,0.91162395,0.9995487,0.99976367,hard_negative
6,All languages,মুঠা,মুতা,mutʰa,mut̪a,A handful,Muta,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.96878946,0.946977,0.99951005,0.9994086,hard_negative
7,All languages,কি,কই,ki,ki,What?,Where?,0.0,0.0,0.0,0.0,0.0,0.0,0.97078586,0.85537076,0.99987584,0.9997729,hard_negative
8,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,0.9552657,0.8974098,0.9994111,0.998907,hard_negative
9,All languages,টাকা,কাকা,ʈaka,kaka,Money,Uncle,0.25,0.25,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,0.97564155,0.9667577,0.9999168,0.99994373,hard_negative
10,All languages,টাং,গাং,ʈaŋ,gaŋ,Tang,Gang,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.98280716,0.9657941,0.99982905,0.9997743,hard_negative
11,All languages,মিছা,মিঠা,mit͡ɕʰa,mitʰa,lie,sweet,0.2857142857142857,0.25,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.9895911,0.96335554,0.9998384,0.99991614,hard_negative
12,All languages,লাখ,লিখ,lakʰ,likʰ,Millions,Write,0.25,0.0,0.0277777777777777,0.0277777777777777,0.3333333333333333,0.0277777777777777,0.9808657,0.9495855,0.99987143,0.9999481,hard_negative
13,All languages,আদা,আড্ডা,ad̪a,adda,Ginger,Chat,0.25,0.25,0.2395833333333333,0.2604166666666667,1.875,0.2604166666666667,0.9869014,0.9270193,0.99975526,0.99992853,hard_negative
14,All languages,কাটা,কাকা,kaʈa,kaka,Cut,Uncle,0.25,0.25,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,0.9871493,0.9562099,0.9998032,0.99995047,hard_negative
15,All languages,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.98127735,0.96633285,0.99991727,0.99987334,hard_negative
16,All languages,আম,আমি,am,ami,Mango,I,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.98945373,0.9782891,0.9998743,0.9999718,hard_negative
17,All languages,পোলা,পলা,pola,pɔla,Pola,Escape,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.98345506,0.96515965,0.9997943,0.9999297,hard_negative
18,All languages,ভাই,বাই,bʱai,bai,Brother,Bye,0.25,0.0,0.0,0.0,0.0,0.0,0.98125905,0.9655075,0.99990475,0.9998807,hard_negative
