,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0,DNNlogits_modelpredicted
0,3573,bathyscaphe,bondieuserie,bathyscaphe*,bɔ̃djœzəʀi,bathyscaphe,bondieuserie,0.9166666666666666,0.1818181818181818,0.2367424242424242,0.2575757575757575,2.1818181818181817,0.2556818181818181,10,hard_negative,0,,-8.543133
1,909,chatelain,châtelain,chatelain*,ʃatəlɛ̃,chatelain,châtelain,0.7,0.4444444444444444,0.3356481481481481,0.3703703703703703,2.875,0.3680555555555556,1,loan,1,,6.910207
2,601,bretessé,bretessé,bretessé*é,bʀətɛse,bretessé,bretessé,0.7,0.1428571428571428,0.2337962962962962,0.2638888888888889,1.930555555555556,0.2546296296296296,0,loan,1,,2.6737194
3,16,abaissé,abaissé,abaissé*é,abɛse,lowered,lowered,0.6666666666666666,0.3333333333333333,0.3489583333333333,0.3854166666666666,2.8125,0.3854166666666666,0,loan,1,,-4.003857
4,2607,powder-douce,débouché,powder-douce*,debuʃe,powder-soft,outlet,0.6923076923076923,0.6363636363636364,0.4242424242424242,0.4810606060606061,3.590909090909091,0.4772727272727273,9,hard_negative,0,,-14.959972
5,2314,kilogram,kilogramme,ˈkɪləˌgræm,kilɔɡʀɑm,kilogram,kilogram,0.7,0.125,0.1510416666666666,0.1770833333333333,1.328125,0.1640625,2,loan,1,,-3.2930746
6,10380,fitché,chaud-froid,fitché*é,ʃod-fʀwa,fitché,warm cold,1.0,0.5714285714285714,0.1309523809523809,0.1488095238095238,1.7142857142857142,0.1309523809523809,11,hard_negative,0,,-11.259618
7,1266,cubitiere,cubitière,cubitiere*,kybisjə̀ʀ,cubitiere,cubicière,0.8,0.3333333333333333,0.1458333333333333,0.1759259259259259,1.5833333333333333,0.162037037037037,1,loan,1,,2.4319732
8,920,confinement,en famille,kənˈfaɪnmənt,ən famij,confinement,with family,0.5833333333333334,0.4545454545454545,0.3655303030303031,0.4015151515151514,3.215909090909091,0.3996212121212121,10,hard_negative,0,,-9.779153
9,3479,spadassin,spadassin,spadassin*,spadasɛ̃,spadesin,spadesin,0.4,0.2222222222222222,0.2175925925925925,0.2361111111111111,1.75,0.2361111111111111,0,loan,1,,3.0764608
10,885,chapé,échapper,chapé*é,eʃapəʀ,escaped,escape,0.7142857142857143,0.6666666666666666,0.1111111111111111,0.1319444444444444,2.770833333333333,0.1111111111111111,4,loan,1,,-12.447406
11,2109,greviere,grevière,greviere*,ɡʀɛvjə̀ʀ,counties,grevier,0.8888888888888888,0.4285714285714285,0.2202380952380952,0.2976190476190476,3.0892857142857144,0.2202380952380952,1,loan,1,,2.3341932
12,3679,tulip,tulipe,ˈtulɪp,tylip,tulip,tulipe,0.5,0.0,0.0166666666666666,0.0166666666666666,0.15,0.0166666666666666,1,loan,1,,0.76849705
13,1965,fuselage,fuselage,fˈjusəˌlɑʤ,fyzəlaʒ,fuselage,fuselage,0.7,0.2857142857142857,0.2499999999999999,0.3035714285714285,2.2857142857142856,0.2499999999999999,0,loan,1,,1.8658714
14,644,brusquerie,brusquerie,brusquerie*,bʀyskəʀi,abruptness,abruptness,0.7272727272727273,0.2,0.2291666666666666,0.2666666666666667,2.0,0.25,0,loan,1,,1.0773982
15,26,abattoir,abattoir,abattoir*,abatwaʀ,abattoir,abattoir,0.5555555555555556,0.25,0.1666666666666666,0.1927083333333333,1.6875,0.1770833333333333,0,loan,1,,0.87607956
16,2516,massif,massif,ˈmæsɪf,masif,massif,massif,0.5,0.0,0.0083333333333333,0.0083333333333333,0.05,0.0083333333333333,0,loan,1,,-2.7587347
17,1760,état major,état,éétat* ˈmeɪʤər,eta,Staff,state,0.8571428571428571,0.625,0.6229166666666666,0.7,5.075,0.7,6,loan,1,,-4.0346355
18,4592,employés,espionnage,employés*,ɛspjɔnaʒ,employees,spying,0.8888888888888888,0.25,0.1432291666666666,0.15625,2.375,0.1432291666666666,7,hard_negative,0,,-10.264042
