,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0,DNNlogits_modelpredicted
0,2485,maquis,maquis,maquis*,maki,maquis,maquis,0.5714285714285714,0.3333333333333333,0.3090277777777777,0.3402777777777778,2.5,0.3402777777777778,0,loan,1,,4.269493
1,7720,fin de siècle,dépréciation,fɪn də siècle*,depʀesjasjɔ̃,end of century,depreciation,0.9285714285714286,0.4545454545454545,0.1420454545454545,0.1590909090909091,2.1931818181818183,0.1420454545454545,13,hard_negative,0,,-13.580923
2,3292,roman à thèse,roman à thèse,ˈroʊmən à* thèse*,ʀɔman a tə̀s,thesis novel,thesis novel,0.6470588235294118,0.4,0.2552083333333333,0.2916666666666667,2.15625,0.2847222222222222,0,loan,1,,4.820937
3,2151,hausse,hausse,hausse*,os,rise,rise,0.8571428571428571,0.6666666666666666,0.6145833333333334,0.6805555555555557,5.0,0.6805555555555557,0,loan,1,,4.353779
4,4628,enfile,aspirant,enfile*,aspiʀɑ̃,put on,aspirant,0.8571428571428571,0.1666666666666666,0.1041666666666666,0.1180555555555555,1.5833333333333333,0.1041666666666666,7,hard_negative,0,,-5.8742056
5,4199,couchette,cassette,ˌkuˈʃɛt,kasɛt,couchette,cassette,0.5714285714285714,0.0,0.0583333333333333,0.0583333333333333,0.65,0.0583333333333333,4,hard_negative,0,,-3.532249
6,3397,senile,sénile,ˈsiˌnaɪl,senil,senile,senile,0.625,0.1666666666666666,0.1631944444444444,0.1805555555555555,1.3333333333333333,0.1805555555555555,1,loan,1,,2.6791487
7,4182,corrective,directif,kərˈɛktɪv,diʀɛktif,corrective,directive,0.6666666666666666,0.125,0.0755208333333333,0.0885416666666666,0.75,0.0755208333333333,5,hard_negative,0,,-3.6063452
8,294,uncertain,brumeux,ənˈsərtən,bʀymœ,uncertain,foggy,1.0,0.75,0.4505208333333333,0.5052083333333333,4.546875,0.4947916666666666,9,synonym,0,,-7.395854
9,4273,croquis,bricolage,croquis*,bʀikɔlaʒ,sketch,do-it-yourself,1.0,0.25,0.2187499999999999,0.2395833333333333,2.015625,0.2291666666666666,7,hard_negative,0,,-11.281631
10,9548,singerie,salariat,singerie*,salaʀja,singerie,employee,0.8888888888888888,0.2857142857142857,0.0773809523809523,0.0952380952380952,1.1785714285714286,0.0773809523809523,6,hard_negative,0,,-4.6301723
11,10653,mitraillade,masque allongé,mitraillade*,maskə alɔ̃ʒe,machine gun fire,elongated mask,0.8333333333333334,0.1818181818181818,0.1723484848484848,0.1893939393939393,1.8977272727272727,0.1799242424242424,11,hard_negative,0,,-9.5585
12,4863,fragrance,bralette,ˈfreɪgrəns,bʀalɛt,fragrance,bralette,1.0,0.25,0.2916666666666667,0.3385416666666667,2.65625,0.3151041666666667,6,hard_negative,0,,-5.5033884
13,1295,cuvier,cuvier,cuvier*,kyvjəʀ,cuvier,cuvier,0.8571428571428571,0.3333333333333333,0.0694444444444444,0.0902777777777777,1.0,0.0694444444444444,0,loan,1,,4.8465405
