,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
0,অক্ষ,শখ,ɔkʰjɔ,ʃɔkʰɔ,Axis,Hobby,0.4,0.5,0.2447916666666666,0.2708333333333333,3.625,0.2447916666666666,4,Bengali,Bengali,hard_negative
1,অগ্নি,ঘি,ɔgni,gʱi,Fire,Ghee,0.5,0.6666666666666666,0.6041666666666666,0.6666666666666666,4.833333333333333,0.6666666666666666,4,Bengali,Bengali,hard_negative
2,আগুনি,আখনী,aguni,akʰn̪i,Fire,Akhni,0.5,0.25,0.1041666666666666,0.1145833333333333,2.28125,0.1041666666666666,3,Bengali,Bengali,hard_negative
3,অনুবাদ,কিউবা,ɔnubad,kiuba,Translation,Cuba,0.5,0.5,0.2604166666666667,0.2916666666666667,3.8125,0.2743055555555555,4,Bengali,Bengali,hard_negative
4,অনুমতি,তুমি,ɔnumti,t̪umi,Permission,You,0.5,0.5,0.3298611111111111,0.3611111111111111,2.9166666666666665,0.3611111111111111,3,Bengali,Bengali,hard_negative
5,অৱতাৰ,সপ্তাহ,ɔwtaɹ,ʃɔpt̪aɦ,The incarnation,Week,0.5714285714285714,0.3333333333333333,0.2604166666666667,0.2777777777777778,3.2291666666666665,0.2743055555555555,4,Bengali,Bengali,hard_negative
6,অশোক,গণিকা,ɔxʊk,ɡɔnika,Ashoka,Prostitute,0.6666666666666666,0.5,0.3784722222222222,0.4166666666666667,3.6041666666666665,0.4131944444444445,4,Bengali,Bengali,hard_negative
7,অস্থি,মেথী,ɔxtʰi,met̪ʰi,Bones,Fenugreek,0.5,0.5,0.1666666666666666,0.1874999999999999,3.8125,0.1666666666666666,4,Bengali,Bengali,hard_negative
8,আমি,আমীর,ami,amir,I,Amir,0.25,0.25,0.2083333333333333,0.25,1.8125,0.25,2,Bengali,Bengali,hard_negative
9,আঁক,পাঁক,ãkɔ,pãkɔ,Draw,Mud,0.25,0.3333333333333333,0.2239583333333333,0.25,1.8125,0.25,2,Bengali,Bengali,hard_negative
10,আকাশ,আকাম,akax,akam,The sky,Akam,0.25,0.25,0.0833333333333333,0.0833333333333333,1.4375,0.0833333333333333,1,Bengali,Bengali,hard_negative
