loan_word,original_word
আঁৱৰি,आमुरि
আক,एक
আছে,आक्षेति
আঠ,अष्ट
এক,एक
কঁটা,कण्टक
কঁপা,कम्पते
কঁহুৱা,काशक
কাঁইট,कण्टक
কাঁটা,कण्टक
কাঁড়,काण्ड
কাজ,कार्य
কামি,कम्बि
কাহ,कासते
কাহিনী,कथानक
কুকুৰ,कुक्कुर
কুমাৰ,कुम्भकार
গান্ধী,गान्धिक
গোৰ,*गोड्डा
ঘড়ী,घटिका
ঘমা,घर्म
ঘাউ,घात
চলা,चलति
চোৰ,चोर
ছাঁ,छाया
ছাল,छल्ली
ছিঙা,छिनत्ति
ছুৰী,क्षुरी
জনা,जानाति
জল,जल
জানা,जानाति
জ্বলন,ज्वलन
ঝীয়া,दुहितृ
টুপী,टोपिका
ঢালা,ध्वारयति
তপত,तप्त
থিয়,स्थिति
দহ,दश
দুই,द्वि
দুখ,दुःख
দুগ্ধ,दुग्ध
ধোঁৱা,धूम
নামনি,नम्र
নিয়ৰ,नीहार
নীল,नील
নেউল,नकुल
পশু,पशु
পানী,पानीय
পিহা,पिनष्टि
পুলি,पोत
পেলোৱা,प्रेरयति
পোনা,पोत
পোৱালী,पोत
বন্ধা,बन्धति
বলা,वलति
বিজুলী,विद्युल्लता
বিজ্ঞান,विज्ञान
বিভগ,विभाग
বিভেদ,विभेद
বিল,बिल
বিহ,विष
বুকু,वक्ष
বেজী,वेध्य
বোজা,वह्य
বোৱা,वहति
ভূঁই,भूमि
ভোট,भौट्ट
ভৰা,भरति
মচা,प्रोञ्छति
মজা,महस्
মতা,मर्त
মা,माता
মাতা,मन्त्र
মুই,मया
লাথ,*लत्ता
শালিকা,सारिका
শিকা,शिक्षति
শুনা,शृणोति
সিজা,सिद्ध
সেকা,शिक्षा
সৰিয়হ,सर्षप
হয়,भवति
হলা,हलति
হাগা,हदति
হাড়,हड्ड
হাল,हल
হালধি,हारिद्र
হিয়া,हृदय
হীৰা,हीरक
ৰহ,रस
ৰাং,रङ्ग
