CategoryTreeItem,CategoryTreeItem 2,CategoryTreeItem href,CategoryTreeItem 3
‎,A'ou language,https://en.wiktionary.org/wiki/Category:A%27ou_language,"(3 c, 0 e)"
‎,A-Hmao language,https://en.wiktionary.org/wiki/Category:A-Hmao_language,"(3 c, 0 e)"
‎,A-Pucikwar language,https://en.wiktionary.org/wiki/Category:A-Pucikwar_language,"(6 c, 0 e)"
‎,Aari language,https://en.wiktionary.org/wiki/Category:Aari_language,"(8 c, 0 e)"
‎,Aasax language,https://en.wiktionary.org/wiki/Category:Aasax_language,"(5 c, 0 e)"
‎,Aba language,https://en.wiktionary.org/wiki/Category:Aba_language,"(3 c, 0 e)"
‎,Abaga language,https://en.wiktionary.org/wiki/Category:Abaga_language,"(1 c, 0 e)"
‎,Abai language,https://en.wiktionary.org/wiki/Category:Abai_language,"(3 c, 0 e)"
‎,Abai Sungai language,https://en.wiktionary.org/wiki/Category:Abai_Sungai_language,(0 e)
‎,Abanyom language,https://en.wiktionary.org/wiki/Category:Abanyom_language,"(4 c, 0 e)"
‎,Abau language,https://en.wiktionary.org/wiki/Category:Abau_language,"(2 c, 0 e)"
‎,Abaza language,https://en.wiktionary.org/wiki/Category:Abaza_language,"(12 c, 1 e)"
‎,Abenaki language,https://en.wiktionary.org/wiki/Category:Abenaki_language,"(10 c, 0 e)"
‎,Abenlen Ayta language,https://en.wiktionary.org/wiki/Category:Abenlen_Ayta_language,"(4 c, 0 e)"
‎,Abidji language,https://en.wiktionary.org/wiki/Category:Abidji_language,"(3 c, 0 e)"
‎,Abinomn language,https://en.wiktionary.org/wiki/Category:Abinomn_language,"(6 c, 0 e)"
‎,Abipon language,https://en.wiktionary.org/wiki/Category:Abipon_language,"(3 c, 0 e)"
‎,Abishira language,https://en.wiktionary.org/wiki/Category:Abishira_language,"(1 c, 1 e)"
‎,Abkhaz language,https://en.wiktionary.org/wiki/Category:Abkhaz_language,"(15 c, 3 e)"
‎,Abom language,https://en.wiktionary.org/wiki/Category:Abom_language,(0 e)
‎,Abon language,https://en.wiktionary.org/wiki/Category:Abon_language,"(1 c, 0 e)"
‎,Abron language,https://en.wiktionary.org/wiki/Category:Abron_language,"(4 c, 0 e)"
‎,Abu language,https://en.wiktionary.org/wiki/Category:Abu_language,"(3 c, 0 e)"
‎,Abu' Arapesh language,https://en.wiktionary.org/wiki/Category:Abu%27_Arapesh_language,"(3 c, 0 e)"
‎,Abua language,https://en.wiktionary.org/wiki/Category:Abua_language,"(3 c, 0 e)"
‎,Abui language,https://en.wiktionary.org/wiki/Category:Abui_language,"(6 c, 0 e)"
‎,Abun language,https://en.wiktionary.org/wiki/Category:Abun_language,"(3 c, 0 e)"
‎,Abung language,https://en.wiktionary.org/wiki/Category:Abung_language,"(4 c, 0 e)"
‎,Abure language,https://en.wiktionary.org/wiki/Category:Abure_language,"(4 c, 0 e)"
‎,Abé language,https://en.wiktionary.org/wiki/Category:Ab%C3%A9_language,"(3 c, 0 e)"
‎,Acatepec Me'phaa language,https://en.wiktionary.org/wiki/Category:Acatepec_Me%27phaa_language,"(1 c, 0 e)"
‎,Acehnese language,https://en.wiktionary.org/wiki/Category:Acehnese_language,"(12 c, 0 e)"
‎,Achagua language,https://en.wiktionary.org/wiki/Category:Achagua_language,"(5 c, 0 e)"
‎,Achang language,https://en.wiktionary.org/wiki/Category:Achang_language,"(5 c, 0 e)"
‎,Acheron language,https://en.wiktionary.org/wiki/Category:Acheron_language,"(3 c, 0 e)"
‎,Achi language,https://en.wiktionary.org/wiki/Category:Achi_language,"(3 c, 0 e)"
‎,Acholi language,https://en.wiktionary.org/wiki/Category:Acholi_language,"(4 c, 0 e)"
‎,Achuar language,https://en.wiktionary.org/wiki/Category:Achuar_language,"(4 c, 1 e)"
‎,Achumawi language,https://en.wiktionary.org/wiki/Category:Achumawi_language,"(5 c, 0 e)"
‎,Aché language,https://en.wiktionary.org/wiki/Category:Ach%C3%A9_language,"(3 c, 0 e)"
‎,Adai language,https://en.wiktionary.org/wiki/Category:Adai_language,"(1 c, 1 e)"
‎,Adamorobe Sign Language,https://en.wiktionary.org/wiki/Category:Adamorobe_Sign_Language,(0 e)
‎,Adang language,https://en.wiktionary.org/wiki/Category:Adang_language,"(4 c, 0 e)"
‎,Adangbe language,https://en.wiktionary.org/wiki/Category:Adangbe_language,(0 e)
‎,Adangme language,https://en.wiktionary.org/wiki/Category:Adangme_language,"(5 c, 0 e)"
‎,Adap language,https://en.wiktionary.org/wiki/Category:Adap_language,(0 e)
‎,Adele language,https://en.wiktionary.org/wiki/Category:Adele_language,"(2 c, 0 e)"
