,language,source_language,e,isOverlapped
6207,romanian,French,24101,True
1916,english,French,5191,True
1927,english,German,2860,True
3199,indonesian,Dutch,2678,True
5733,polish,French,2033,True
3771,kazakh,Russian,1798,True
1629,dutch,French,1780,True
7602,turkish,French,1543,True
5600,persian,Arabic,1526,True
6212,romanian,Hungarian,1462,True
2579,german,French,1377,True
2985,hindi,Persian,1362,True
5734,polish,German,1265,True
1625,dutch,English,1228,True
1194,chinese,English,1171,True
5730,polish,English,1163,True
585,azerbaijani,Arabic,1122,True
6209,romanian,German,1066,True
2575,german,English,1038,True
