,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label,label_bin,DNN_logits,mbert_cos,xlm_cos,ass_bert_mbert_cos,indic_bert_cos,muril_cos,mbertxlm,mbertass_bert,mbertindic_bert,mbertmuril,xlmmbert,xlmass_bert,xlmindic_bert,xlmmuril,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,indic_bertmbert,indic_bertxlm,indic_bertass_bert,indic_bertmuril,murilmbert,murilxlm,murilass_bert,murilindic_bert,mbert_src_assbert_trg
1,1,1,1,119,119,চান্দ,চন্দ্র,sandɔ,t͡ɕɔn̪d̪rɔ,Chand,The moon,0.7,0.333333333333333,0.215277777777778,0.243055555555555,2.04166666666667,0.243055555555555,3,Bengali,Bengali,synonym,0,-10.284964,0.898672342300415,0.883425295352936,0.55970299243927,0.99956601858139,0.998345673084259,0.9049548,-0.018081866,0.99959475,0.9985286,0.89907426,-0.017074855,0.99957055,0.9983493,0.92474973,0.9215591,0.99969643,0.99930966,0.99816793,0.99756676,-0.0365987,0.9999588,0.99799347,0.99767375,-0.03744312,0.99986714,0.08058794
3,3,3,3,277,277,ৰঙা,বাঘ,ɹɔŋa,bagʱɔ,red,Tiger,1,0.5,0.395833333333333,0.427083333333333,4.59375,0.421875,3,Bengali,Bengali,random,0,-8.418461,0.70213383436203,0.727382242679596,0.53846150636673,0.999727189540863,0.999410092830658,0.7542741,-0.050139345,0.9997027,0.99941516,0.7022505,-0.052944284,0.9997288,0.9994104,0.8259336,0.85194707,0.9997277,0.9996489,0.99770397,0.99597317,-0.03734661,0.9999541,0.9989124,0.9985465,-0.037649754,0.9999145,0.06619873
7,7,7,7,331,331,হামি,হগল,ɦami,ɦɔɡɔlɔ,Hami,Huggle,0.833333333333333,0.5,0.392361111111111,0.430555555555555,3.52083333333333,0.427083333333333,3,Bengali,Bengali,random,0,-5.898656,0.930094659328461,0.728527843952179,0.498894214630127,0.997657418251038,0.998519957065582,0.86249816,-0.03930609,0.9993639,0.9993417,0.93118215,-0.03184927,0.99764293,0.9985384,0.97141314,0.9018024,0.99974793,0.99975795,0.9966872,0.9953221,-0.037855163,0.99993825,0.99837536,0.99808246,-0.037076805,0.9999099,-0.010628015
8,8,8,8,69,69,কি,ভাই,ki,bʱai,What?,,0.75,0.666666666666667,0.368055555555556,0.402777777777778,3.16666666666667,0.402777777777778,3,Bengali,Bengali,random,0,-4.803788,0.813638985157013,0.70597916841507,0.497046440839767,0.998022556304931,0.999325037002564,0.7381054,-0.035779875,0.99830204,0.9993641,0.81381166,-0.037633013,0.99802864,0.9993261,0.9176036,0.85969746,0.9995757,0.9997537,0.9956676,0.9899523,-0.03712314,0.9999563,0.998884,0.9984592,-0.037533853,0.9999247,-0.0024793483
9,9,9,9,35,35,একতা,একতা,ɛkta,ekt̪a,Unity,Unity,0.4,0,0.020833333333333,0.020833333333333,0.125,0.020833333333333,0,Bengali,Bengali,loan,1,4.1223454,0.99999988079071,1,0.380959838628769,0.999716639518738,0.999898552894592,0.96545196,-0.03010384,0.99964035,0.9997474,0.9999895,-0.018138407,0.99972034,0.9998979,0.98735857,0.9466597,0.9997403,0.9998757,0.99899936,0.99676406,-0.037306555,0.9999567,0.99892133,0.99850416,-0.03759682,0.9999249,0.05585608
12,12,12,12,269,269,মূত,প্রস্রাব,mut,prɔʃrab,Urine,Urine,1,0.714285714285714,0.547619047619048,0.625,4.91071428571429,0.625,8,Bengali,Bengali,synonym,0,-16.955065,0.875323474407196,0.697808623313904,0.398282825946808,0.997052788734436,0.998671412467956,0.7167136,-0.02165176,0.9974974,0.9990542,0.8762882,-0.018811584,0.99717325,0.99868286,0.9262061,0.7489884,0.9995594,0.99892604,0.9924416,0.98054004,-0.0355205,0.9998639,0.998386,0.9980472,-0.036853895,0.999915,0.025163803
13,13,13,13,328,328,স্বাধীনতা,স্বাধীনতা,xadʰinta,ʃad̪ʱin̪t̪a,Freedom,Freedom,0.454545454545454,0.142857142857143,0.044642857142857,0.047619047619048,0.375,0.044642857142857,0,Bengali,Bengali,loan,1,7.116972,0.999999523162842,1,0.519619941711426,0.999814987182617,0.999862432479858,0.9963718,-0.04683931,0.99984455,0.9998301,0.99998283,-0.04677537,0.99981445,0.9998626,0.98968345,0.975767,0.9998798,0.99965304,0.99890625,0.9982082,-0.037776336,0.99996006,0.9988309,0.99840635,-0.037429485,0.99992096,0.009646243
14,14,14,14,55,55,কাট,কাটা,kat,kaʈa,Cut,Cut,0.5,0.25,0.234375,0.260416666666667,1.9375,0.260416666666667,1,Bengali,Bengali,loan,1,4.481553,0.957091391086578,0.821587324142456,0.412207663059235,0.999522864818573,0.999658048152924,0.8703496,-0.03965296,0.99946797,0.9997779,0.95708764,-0.038217463,0.99952674,0.9996597,0.9846874,0.9609407,0.9996992,0.9998967,0.9984883,0.9949232,-0.036760144,0.9999597,0.99892706,0.99854064,-0.037687488,0.99992204,0.043645322
16,16,16,16,223,223,বিলাই,মার্জার,bilai,mard͡ʑar,distribute,Marger,0.875,0.5,0.246527777777778,0.298611111111111,3.04166666666667,0.260416666666667,6,Bengali,Bengali,synonym,0,-17.334297,0.946537435054779,0.71158891916275,0.424685180187225,0.998899638652802,0.998088240623474,0.86366653,-0.031204745,0.99972665,0.99938065,0.9468103,-0.031083087,0.9989091,0.9981097,0.95736325,0.8769431,0.99907345,0.99941236,0.99736905,0.9936622,-0.037351698,0.9999488,0.9982643,0.99772835,-0.036479343,0.99992174,0.05483181
18,18,18,18,47,47,কালি,কালি,kali,kali,yesterday,yesterday,0,0,0,0,0,0,0,Bengali,Bengali,loan,1,3.9141293,0.99999988079071,1,0.456332474946976,0.997113943099976,0.999910593032837,0.98130834,-0.03829704,0.9979936,0.9999104,0.9999971,-0.038606085,0.99710697,0.9999105,0.9741795,0.94302416,0.9995792,0.9999028,0.9975271,0.99058,-0.03786385,0.9999215,0.99892986,0.9985146,-0.037602317,0.9999243,0.032603044
