,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,बुत-ख़ाना,بت‌خانه,butə-xaːnaː,bt‌xɒnh,fetish,بت‌خانه,-6.3435206,0.806609034538269,0.5976358652114868,loan
1,All_languages,gutter rabbit,lapin de gouttière,ˈgətər ˈræbɪt,lapin də ɡutjə̀ʀ,gutter rabbit,gutter rabbit,-12.2811985,0.7565322518348694,0.7578791975975037,loan
2,All_languages,decalcomanie,décalcomanie,decalcomanie*,dekalkɔmani,decals,decal,-3.863665,0.966414213180542,0.8573843836784363,loan
3,All_languages,questionnaire,questionnaire,kˌwɛsʧəˈnɛr,kɛssjɔnɛʀ,questionnaire,questionnaire,-5.871508,1.0000001192092896,1.0,loan
4,All_languages,prepose,préposer,prepose*,pʀepɔzəʀ,prepose,prescribe,-2.810462,0.6367781162261963,0.7471208572387695,loan
5,All_languages,agglutination,agglutination,agglutination*,aɡɡlytinasjɔ̃,agglutination,agglutination,-7.950378,1.0,0.9999998211860656,loan
6,All_languages,mirabelle plum,mirabelle,ˈmɪrəˌbɛl pləm,miʀabɛl,mirabelle plum,mirabelle plum,-4.894803,0.9999998807907104,1.0,loan
7,All_languages,horizontal,horizontal,ˌhɔrəˈzɑntəl,ɔʀizɔ̃tal,horizontal,horizontal,-3.4573646,0.9096918106079102,0.7458218932151794,loan
8,All_languages,façon de parler,façon de parler,façon* də ˈpɑrlər,fasɔn də paʀləʀ,way of talking,way of talking,-3.4073300000000004,1.0,1.0,loan
9,All_languages,cineast,cinéaste,cineast*,sineast,cinematographer,filmmaker,-7.0251589999999995,0.8574144244194031,0.6544440388679504,loan
10,All_languages,fromage blanc,fromage blanc,fromage* blæŋk,fʀɔmaʒə blɑ̃k,cottage cheese,cottage cheese,-5.2233834,0.5661789178848267,0.712559163570404,loan
11,All_languages,punt,pointe,pənt,pɔɛ̃t,punt,pointe,-4.127607,0.9999998211860656,1.0,loan
12,All_languages,restaurateur,restaurateur,ˌrɛstərəˈtər,ʀɛstoʀatœʀ,restaurateur,restaurateur,-4.757553,0.7731143832206726,0.6856076121330261,loan
13,All_languages,existentialism,existentialisme,existentialism*,əɡzistɑ̃sjalism,existentialism,existentialism,-7.1406206999999995,0.8436160683631897,0.7331877350807191,loan
14,All_languages,acclimate,acclimater,ˈækləˌmeɪt,akklimatəʀ,acclimate,acclimate,-3.8277516000000005,0.6664362549781799,0.6717610359191895,loan
15,All_languages,en garde,en garde,ɛn gɑrd,ən ɡaʀd,on guard,on guard,-3.9820187000000007,0.7763139009475708,0.6355680227279663,loan
16,All_languages,solenoid,solénoïde,solenoid*,sɔlenoid,solenoid,solenoid,-2.953661,0.7778444290161133,0.5571160316467285,loan
17,All_languages,pièce montée,pièce montée,pièce* montée*,pjə̀sə mɔ̃te,cake,cake,-3.9246347000000004,0.4260702431201935,0.6390345096588135,loan
18,All_languages,amende honorable,amende honorable,amende* ˈɑnərəbəl,amɑ̃də ɔnɔʀabl,amends,amends,-4.9175963,0.8480907678604126,0.5148085355758667,loan
