,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.96,0.99,0.97,11541.0,
1,True,False,,1,0.93,0.79,0.86,2390.0,0.95
2,False,False,Hindi-Persian,0,0.94,1.0,0.97,292.0,
3,False,False,Hindi-Persian,1,0.99,0.86,0.92,125.0,0.96
4,False,False,English-French,0,0.93,0.97,0.95,1184.0,
5,False,False,English-French,1,0.93,0.83,0.88,508.0,0.93
6,False,False,Finnish-Swedish,0,0.95,1.0,0.97,680.0,
7,False,False,Finnish-Swedish,1,0.97,0.73,0.83,124.0,0.95
8,False,False,Kazakh-Russian,0,0.9,0.98,0.94,181.0,
9,False,False,Kazakh-Russian,1,0.98,0.9,0.93,181.0,0.94
10,False,False,Azerbaijani-Arabic,0,0.94,0.99,0.97,447.0,
11,False,False,Azerbaijani-Arabic,1,0.96,0.76,0.85,112.0,0.94
12,False,False,Chinese-English,0,0.95,0.98,0.96,861.0,
13,False,False,Chinese-English,1,0.75,0.53,0.62,95.0,0.94
14,False,False,German-French,0,0.97,0.99,0.98,1226.0,
15,False,False,German-French,1,0.93,0.73,0.81,136.0,0.97
16,False,False,English-German,0,0.98,0.99,0.99,2647.0,
17,False,False,English-German,1,0.91,0.85,0.88,294.0,0.98
18,False,False,Romanian-Hungarian,0,0.96,0.99,0.97,1312.0,
19,False,False,Romanian-Hungarian,1,0.86,0.61,0.71,145.0,0.95
20,False,False,Polish-French,0,0.97,0.99,0.98,1847.0,
21,False,False,Polish-French,1,0.92,0.74,0.82,205.0,0.97
22,False,False,Indonesian-Dutch,0,0.92,0.98,0.95,399.0,
23,False,False,Indonesian-Dutch,1,0.97,0.88,0.92,266.0,0.94
24,False,False,Romanian-French,0,0.92,0.98,0.95,465.0,
25,False,False,Romanian-French,1,0.95,0.8,0.87,199.0,0.93
26,False,True,Hindi-Persian,0,0.95,0.99,0.97,292.0,
27,False,True,Hindi-Persian,1,0.97,0.89,0.93,125.0,0.96
28,False,True,English-French,0,0.93,0.98,0.95,1184.0,
29,False,True,English-French,1,0.94,0.82,0.87,508.0,0.93
30,False,True,Finnish-Swedish,0,0.94,0.99,0.97,680.0,
31,False,True,Finnish-Swedish,1,0.95,0.67,0.79,124.0,0.94
32,False,True,Kazakh-Russian,0,0.93,0.98,0.95,181.0,
33,False,True,Kazakh-Russian,1,0.98,0.93,0.95,181.0,0.95
34,False,True,Azerbaijani-Arabic,0,0.96,0.99,0.97,447.0,
35,False,True,Azerbaijani-Arabic,1,0.96,0.82,0.88,112.0,0.96
36,False,True,Chinese-English,0,0.95,0.98,0.96,861.0,
37,False,True,Chinese-English,1,0.73,0.55,0.63,95.0,0.94
38,False,True,German-French,0,0.98,1.0,0.99,1226.0,
39,False,True,German-French,1,0.95,0.81,0.87,136.0,0.98
40,False,True,English-German,0,0.99,0.99,0.99,2647.0,
41,False,True,English-German,1,0.95,0.88,0.91,294.0,0.98
42,False,True,Romanian-Hungarian,0,0.96,0.99,0.98,1312.0,
43,False,True,Romanian-Hungarian,1,0.86,0.66,0.75,145.0,0.96
44,False,True,Polish-French,0,0.98,0.99,0.98,1847.0,
45,False,True,Polish-French,1,0.91,0.78,0.84,205.0,0.97
46,False,True,Indonesian-Dutch,0,0.94,0.98,0.96,399.0,
47,False,True,Indonesian-Dutch,1,0.97,0.91,0.94,266.0,0.95
48,False,True,Romanian-French,0,0.94,0.98,0.96,465.0,
49,False,True,Romanian-French,1,0.95,0.86,0.9,199.0,0.94
