Unnamed: 0,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label
0,à bas,buron,à* bas*,byʀɔ̃,down,fugitive,1.0,0.5,0.3020833333333333,0.3541666666666666,5.15625,0.3020833333333333,5,random
1,à bouche,bathyscaphe,à* baʊʧ,batiskaf,mouth,bathyscaphe,1.0,0.625,0.5078125,0.5572916666666667,4.203125,0.5546875,8,random
5,à gogo,bouche,à* ˈgoʊˌgoʊ,buʃ,galore,blocked,1.0,0.75,0.5041666666666667,0.5666666666666667,6.375,0.5458333333333334,6,random
6,a la,blessure,ə lɑ,blɛsyʀ,to,wound,1.0,0.6666666666666666,0.5069444444444444,0.5625,4.625,0.5555555555555555,8,random
7,à la,bombe,à* lɑ,bɔ̃b,to the,bomb,1.0,0.6666666666666666,0.3333333333333333,0.3888888888888889,7.041666666666667,0.3333333333333333,5,random
8,à la carte,barrette,à* lɑ kɑrt,baʀʀɛt,à la carte,barrette,0.9,0.6666666666666666,0.2589285714285714,0.3095238095238095,3.928571428571429,0.2738095238095238,7,random
9,a la minute,alouette,ə lɑ ˈmɪnət,alwɛt,a minute,alouette,0.8181818181818182,0.5,0.3828125,0.4270833333333333,3.421875,0.421875,7,random
10,a la mode,bloc,ə lɑ moʊd,blɔk,fashionable,bloc,0.8888888888888888,0.7142857142857143,0.4613095238095238,0.5178571428571428,4.589285714285714,0.5089285714285714,7,random
12,à outrance,alerte,à* outrance*,alɛʀt,excessive,alert,0.9166666666666666,0.625,0.462962962962963,0.5231481481481481,4.027777777777778,0.5115740740740741,8,random
13,à propos de bottes,bleu céleste,à* propos* də bottes*,bləy selɛst,about boots,celestial blue,0.9047619047619048,0.3571428571428571,0.3583333333333333,0.3972222222222222,3.191666666666667,0.3902777777777777,15,random
14,à trois,boulevardier,à* twɑ,buləvaʀdjəʀ,at three,boulevardier,1.0,0.7272727272727273,0.5946969696969698,0.662878787878788,4.863636363636363,0.6609848484848485,10,random
16,abacost,bavardage,abacost*,bavaʀdaʒ,abacost,chat,0.875,0.5,0.2526041666666667,0.2864583333333333,3.40625,0.265625,7,random
17,abaissé,biais,abaissé*é,bjɛs,lowered,bias,0.7777777777777778,0.5,0.4817708333333333,0.5364583333333333,4.140625,0.53125,4,random
18,abandon,absinthe,əˈbændən,absɛ̃t,abandon,absinthe,0.875,0.4285714285714285,0.318452380952381,0.3452380952380953,2.9642857142857144,0.3452380952380953,5,random
19,abandonment,blanquette,əˈbændənmənt,blɑ̃kɛt,abandonment,blanquette,0.8333333333333334,0.6363636363636364,0.4678030303030303,0.5113636363636364,4.090909090909091,0.5094696969696971,8,random
20,abaque,bénédictin,abaque*,benediktɛ̃,abacus,Benedictine,1.0,0.5555555555555556,0.375,0.412037037037037,3.388888888888889,0.4074074074074074,10,random
21,abat-vent,bon vivant,abat-vent*,bɔn vivɑ̃,windbreak,well living,0.8,0.5,0.2421875,0.2708333333333333,3.375,0.2552083333333333,7,random
22,abat-voix,boiserie,abat-voix*,bwazəʀi,sounding board,boiserie,0.8,0.625,0.2526041666666667,0.2864583333333333,4.453125,0.265625,7,random
23,abatis,belote,abatis*,bəlɔt,abatis,belote,0.8571428571428571,0.3333333333333333,0.2326388888888889,0.25,2.5,0.25,6,random
