,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,xlm_cos,indic_bert_cos,muril_cos,label
0,,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,4.4146843,0.6354708671569824,0.9984732270240784,0.9997608661651612,synonym
1,,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.04319349,0.7410076856613159,0.9957842230796814,0.9984537363052368,synonym
2,,ভাত,বাত,bʰat,bat̪,Rice,Arthritis,0.5,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,1,-0.0320975779999999,0.8519701361656189,0.999599814414978,0.9998061656951904,hard_negative
3,,পাণ,পান,pan,pan̪,Pan,Drink,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,1,2.3533716,0.5956570506095886,0.9994679689407348,0.9997282028198242,hard_negative
4,,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,1,2.226166,0.9308871030807496,0.9989298582077026,0.999509572982788,hard_negative
5,,কালি,খালি,kali,kʰali,yesterday,Empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,1,2.1209977,0.7555072903633118,0.996406316757202,0.9996455311775208,hard_negative
6,,আমি,ঘামা,ami,gʱama,I,Sweat,0.6,0.0,0.0277777777777777,0.0277777777777777,0.3333333333333333,0.0277777777777777,3,5.2260866,0.5299761295318604,0.9972242712974548,0.9990617036819458,hard_negative
7,,হিয়া,হৃদয়,ɦija,ɦɽid̪e̯ɔ,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,3,-0.067471445,0.7157903909683228,0.9987114071846008,0.9988890290260316,synonym
8,,পখিলা,পাখ,pɔkʰila,pakʰ,butterfly,Wings,0.5714285714285714,0.5,0.4791666666666667,0.5277777777777778,3.9166666666666665,0.5277777777777778,4,4.5246434,0.73451167345047,0.9972369074821472,0.9982947707176208,synonym
9,,সাপ,সাত,xap,ʃat̪,Snake,Seven,0.75,0.6666666666666666,0.0833333333333333,0.0972222222222222,0.9166666666666666,0.0833333333333333,1,3.9348211,0.7609801292419434,0.9995262026786804,0.9993358850479126,hard_negative
10,,উপন্যাস,আপনা,upniax,apn̪a,Novel,Yours,0.5,0.3333333333333333,0.3402777777777778,0.375,2.875,0.375,4,1.9159058,0.6483665704727173,0.9989824295043944,0.9989466071128844,hard_negative
11,,কাটা,কাঁটা,kata,kãʈa,Cut,Thorns,0.5,0.25,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,1,1.8549147,0.8055440783500671,0.9997262358665466,0.9998821020126344,hard_negative
