,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,4.4146843,0.8980881571769714,0.6354708671569824,0.9984732270240784,0.9997608661651612,0.9520608,0.80045986,0.9997871,0.99978334,synonym
1,All languages,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.04319349,0.9120674729347228,0.7410076856613159,0.9957842230796814,0.9984537363052368,0.9356372,0.8051347,0.9967142,0.99907583,synonym
2,All languages,চাক,শাক,sak,ʃak,Wheels,Spinach,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,1,0.3817135,0.9063252210617064,0.7101193070411682,0.9991680383682252,0.9992710947990416,0.9526843,0.882917,0.9991021,0.99950075,hard_negative
3,All languages,ভাত,বাত,bʰat,bat̪,Rice,Arthritis,0.5,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,1,-0.0320975779999999,0.9271791577339172,0.8519701361656189,0.999599814414978,0.9998061656951904,0.9417679,0.9222977,0.99967176,0.9998469,hard_negative
4,All languages,ঠেং,ঠেঙ,tʰɛŋ,ʈʰeŋ,The tail,Stretch,0.5,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,1,-0.09522793,0.8803620338439941,0.8869635462760925,0.999634563922882,0.9972594976425172,0.9458081,0.92770076,0.9997352,0.9996924,hard_negative
5,All languages,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,1,2.226166,0.9187913537025452,0.9308871030807496,0.9989298582077026,0.999509572982788,0.9664444,0.95474905,0.9996022,0.9996595,hard_negative
6,All languages,কাছু,কানু,kasu,kan̪u,Something,Kanu,0.4,0.25,0.0520833333333333,0.0520833333333333,1.0,0.0520833333333333,1,-1.3197948,0.9509975910186768,0.8996228575706482,0.99577397108078,0.9989251494407654,0.94038427,0.92243207,0.9982264,0.9997022,hard_negative
7,All languages,কালি,খালি,kali,kʰali,yesterday,Empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,1,2.1209977,0.8240929245948792,0.7555072903633118,0.996406316757202,0.9996455311775208,0.9004726,0.8462909,0.9996295,0.9998453,hard_negative
8,All languages,হিয়া,হৃদয়,ɦija,ɦɽid̪e̯ɔ,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,3,-0.067471445,0.9065501689910888,0.7157903909683228,0.9987114071846008,0.9988890290260316,0.9324554,0.80457175,0.99933964,0.99946606,synonym
9,All languages,ফণী,ফনী,pʰɔni,ɸɔn̪i,comb,Fanny,0.6,0.0,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,1,-1.6008838,0.9653584957122804,0.9141634702682496,0.9999058246612548,0.9990726709365844,0.9749547,0.92618155,0.99959636,0.9997346,hard_negative
10,All languages,পখিলা,পাখ,pɔkʰila,pakʰ,butterfly,Wings,0.5714285714285714,0.5,0.4791666666666667,0.5277777777777778,3.9166666666666665,0.5277777777777778,4,4.5246434,0.9007573127746582,0.73451167345047,0.9972369074821472,0.9982947707176208,0.9341546,0.8222861,0.99835646,0.99904794,synonym
11,All languages,বাট,বাত,bat,bat̪,The road,Arthritis,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,1,-0.18439186,0.9532134532928468,0.8323407769203186,0.999444305896759,0.9993176460266112,0.9636425,0.91162395,0.9995487,0.99976367,hard_negative
12,All languages,কহা,কটা,kɔɦa,kɔʈa,Say,Brown,0.25,0.25,0.046875,0.0520833333333333,0.96875,0.046875,1,0.9430634,0.9272146224975586,0.804050862789154,0.9984559416770936,0.9987770915031432,0.9557787,0.8709924,0.9993296,0.99918634,hard_negative
13,All languages,সাপ,সাত,xap,ʃat̪,Snake,Seven,0.75,0.6666666666666666,0.0833333333333333,0.0972222222222222,0.9166666666666666,0.0833333333333333,1,3.9348211,0.8270881175994873,0.7609801292419434,0.9995262026786804,0.9993358850479126,0.90809244,0.86694497,0.99965537,0.9995561,hard_negative
14,All languages,পখিলা,পাখা,pɔkʰila,pakʰa,butterfly,Fan,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,3,0.071915984,0.906258225440979,0.7222570180892944,0.9973058700561525,0.9977006912231444,0.9293728,0.8273914,0.9983467,0.99903125,synonym
15,All languages,কচু,কদু,kɔsu,kɔd̪u,Kachu,Pumpkin,0.4,0.0,0.03125,0.03125,0.375,0.03125,1,-0.44318885,0.9584205746650696,0.8983414173126221,0.9993979334831238,0.9985718131065368,0.95996994,0.92996204,0.99983734,0.9995543,hard_negative
16,All languages,সন্ধিয়া,সাঁঝ,xɔndʰija,ʃãd͡ʑʱɔ,evening,Evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,6.4350653,0.8823111057281494,0.6917768120765686,0.9991691112518308,0.997950315475464,0.8752216,0.75064087,0.99954015,0.9988884,synonym
