,Word,Is loan?
101,印度尼西亞,X
895,阿爾弗列德,X
183,喹啉,X
49,免治,
161,咪唑,X
128,吖嗪,X
835,辛普森,X
566,派司,X
629,癟三,
134,吉普,X
90,卡布奇諾,X
160,哈佬,X
342,巴拉圭,X
216,坦桑尼亞,X
515,梵婀玲,X
427,托利,X
780,蘇丹,
405,恰恰,X
675,紐芬蘭,X
714,艾奇遜,X
488,曼克頓,X
36,便士,X
479,明尼阿波利斯,X
464,放克,X
272,好市圍,X
143,吲唑,X
925,馬克杯,X
711,色拉,X
866,金氏,X
839,迪拜,X
628,當機,X
402,德魯伊,X
794,西敏,X
341,巴拉克,X
526,歐巴馬,X
498,果占,X
470,斯芬克斯,X
641,盎司,X
767,蓋茨,X
329,巧克力,X
668,米釐,X
823,賽因斯,X
34,來福槍,X
951,麥當勞,X
771,薩威稜帖,X
347,巴爾幹,X
164,哈嘍,X
284,威靈頓,X
429,托拉斯,X
886,阿德萊德,X
579,湯力水,X
645,盧旺達,X
747,菲力,X
647,盧瑟,X
445,拷貝,X
547,法克,X
418,愛麗斯,X
502,柴可夫斯基,X
259,奎寧,X
808,貓本,X
393,彼拉提斯,X
827,賽蓮,X
145,吡喃,X
913,霍巴特,X
364,布朗尼,X
938,魂克,X
339,巴布爾,X
225,塔崩,X
492,木斯里,X
732,茄哩啡,X
229,塞特,X
443,按乃近,X
857,邱吉爾,X
265,奧林匹克,X
37,保齡,X
757,華法林,X
228,塔斯馬尼亞,X
168,哈羅,X
86,卡塔爾,X
604,特朗普,X
82,卡司,X
39,傑克,X
665,米兔,X
403,忌廉芝士,X
48,克林頓,X
352,布丁,X
13,亞士匹靈,X
70,加德滿都,X
263,奧巴馬,X
947,麥克筆,X
442,拓都,X
112,可待因,X
476,方棚,
855,那不勒斯,X
483,智利,X
