,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All_languages,-0.5575923855991287,-0.3963405652960277,0.23526808780768604,0.6573027450601268,-0.1091612450544257,-0.48745607050806705,-0.7990939875901035,2.29660387488087,-0.006158946680151572,0.02358128310286023,0.0,0.0,0.17500858560989546,-0.06794993390293352,-0.07004239559198594,0.0,0.0,-0.0021698219522126583,0.0,0.0,0.0,0.0,0.20335169045289908,0.0,0.0,-0.06794993390293352,0.0,0.0,0.0,-0.11258395649181419,0.0,0.0,0.0,0.0
1,Hindi-Persian,-1.003404346588229,-0.3471522983121653,0.2434864444522724,-0.7464373117516043,-0.004761523754321706,0.2959777044114429,0.42388184381080274,2.587965126991565,-0.055847603877513086,0.11292052586568746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,-0.3062751961326099,-0.1575209316331957,0.060871757111928604,1.0221757774611049,-0.1637003883198731,-0.5879209894057636,-1.5580473204534846,1.730357621875164,0.08966760324392986,-0.059447265787689774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,-0.3271816876794995,-0.5006689224081495,0.2140533743653723,0.7790481910812932,0.24349342938564456,-0.6117516986072826,-1.2663586720678497,2.0082977708523924,0.04002478045377958,-0.004662257106573031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.21629930808089753,0.34316304964194655,0.08544173858555917,-0.22164040203544647,-0.6515115854517318,0.26729694771107626,-1.397290632926598,2.5266147850218474,-0.10659961672462903,0.038882622694646596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-0.696820610330517,-1.3897800804694485,-0.2395256462047125,-0.1495901072966339,0.6725061544711681,0.33513549721044544,0.8120442552300311,3.5843676397323394,-0.07617685042109246,0.056189579235512266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.3952752187335823,-0.56970696428386,-0.6173616813427393,0.9373350026398952,0.025135954216028766,-0.11599898074513937,0.08489131578930431,1.9788376721538001,-0.014430797896733516,0.061328132998390794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.41482068000356875,-0.5599794981493269,-0.14705115432107219,0.9945782480613374,-0.06675246652492928,-0.24952267628349722,-1.6738745566276614,1.7011977719324427,-0.06715491490162706,0.06107272632343941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,-0.17188980573710366,-0.1224639373343015,0.47348274766603854,0.45494139309485415,-0.33885441903539953,-0.14435974401285132,-2.1987060900055506,1.6094778372537943,-0.1374555432232531,0.14503012105419733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-0.7161946173092787,-0.5246043773982373,0.46886841872698776,0.20320107813263122,0.00263358624590157,-0.1870804600043977,-0.26983585605044896,2.1569163729875016,0.0959419611959158,0.11727664798336979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polish-French,-0.5749372332043359,-0.40104006080222654,0.27243613937587663,0.5085101249035071,-0.3974686404755338,-0.1462803157523082,-0.4736852266702073,1.9280656699023477,0.057776314985934496,-0.06320022056909247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Indonesian-Dutch,-0.03755771894309279,-0.09760200998507496,-0.070104397474263,0.9838752102644885,-0.8282349177676707,0.332257098651096,-1.5683610792490548,2.7362209045706374,0.0752597195618992,0.3938124447844162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Romanian-French,-0.5031933735113219,-0.15548246709303637,-0.18549418445706456,0.2123729182959364,-0.3337018482910339,0.2989565008813737,-1.215672684641921,1.6946770778948992,0.07976250520508643,-0.0882318776751303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
