,language_pair,DNN_logits,MBERT_cos_sim,XLM_cos_sim
0,All_languages,3.5797898857240398,0.0995398064701618,0.287677508557735
1,Hindi-Persian,4.366926381359623,-0.013564134924441529,0.10478215203161298
2,English-French,2.873208828800741,0.3164188292302055,0.8158155967037213
3,Finnish-Swedish,3.698543479718783,0.08334780294024546,0.14487627231728162
4,Kazakh-Russian,4.756482825560777,-0.07676700723318919,0.3138770360155849
5,Azerbaijani-Arabic,3.760472382369196,-0.24831807369502704,-0.14738434184442806
6,Chinese-English,1.966641515825907,0.045830360813339466,0.08700136888161467
7,German-French,2.6469811197901976,0.08435508555370541,0.13215940253228053
8,English-German,2.8409781850998224,0.40390749862054603,0.6103802369380489
9,Romanian-Hungarian,3.55156293040879,0.20723197196259413,0.17986813193481677
10,Polish-French,3.0431514270938855,0.031605283204872325,0.1872485425370154
11,Indonesian-Dutch,4.045897969796984,0.036773066396265215,0.29577550337510455
12,Romanian-French,2.8649698699260213,0.08112444424700305,0.16847939251060895
