word,synonym
অংক,গণিত
অইন,বেলেগ
অক্ণি,লেখি
অক্ণি,বিঢ়া
অক্ণি,ফুট্নি
অক্ণি,পিজ্লা
অক্ণি,চেখ্ৰা
অণুজীৱ,জীৱাণু
অনুবাদ,ভাঙনি
অনুবাদ,তৰ্জমা
অনুবাদ,পৰিভাষা
অনুবাদ,ভাষান্তৰণ
অন্য,বেলেগ
অবৈধ,চোৰাং
অভাৱ,নাটনি
অভাৱ,অনাটন
অভাৱ,আটক
অভাৱ,মাকাল
অমিয়,সুধা
অমিয়া,সুধা
অলপ,অকণমান
অলপ,খানিক
আঁকোৱাল,সাবট
আঁচ,ৰেখা
আঁত,নাড়ীভুঁৰু
আঁত,নাড়ীভুঁৰি
আঁত,নাড়ী
আঁত,পেটু
আঁত,গম
আঁতৰ,দূৰৈ
আঁতৰ,দূৰ
আঁতৰ,দূৰ
আঁতৰ,দূৰৈ
আঁতৰ,দূৰত্ব
আঁতৰ,আঁতৰৰ ঠাই
আঁতৰ,দূৰৰ ঠাই
আঁতৰ,পিছুৱা
আঁতৰ,হোহঁক
আঁৱৰি,তেঁউৰ
আউল,খেলিমেলি
আউল,উপাক-পাক
আউল,আলিমূলি
আউল,খামখেয়ালি
আখি,চকু
আখৰ,লিপি
আখৰ,হৰফ
আখৰ,বৰ্ণ
আগনি,মৌলিক
আগনি,বুনিয়াদী
আগনি,প্ৰাথমিক
আঙাৰ,অঙঠা
আচহুৱা,আচৰিত
আচহুৱা,আজব
আচহুৱা,একাচেকা
আচহুৱা,নেদেখা-নুশুনা
আচহুৱা,নোহোৱা-নোপোজা
আচহুৱা,কেনেবা
আচহুৱা,আজগুবি
আচহুৱা,দিকচৌ
আচহুৱা,অদ্ভূত
আচহুৱা,বিস্ময়কৰ
আচাভুৱা,আচৰিত
আচাভুৱা,আজব
আচাভুৱা,একাচেকা
আচাভুৱা,নেদেখা-নুশুনা
আচাভুৱা,নোহোৱা-নোপোজা
আচাভুৱা,কেনেবা
আচাভুৱা,আজগুবি
আচাভুৱা,দিকচৌ
আচাভুৱা,অদ্ভূত
আচাভুৱা,বিস্ময়কৰ
আজিনাই,আঁজনি
আঞ্জা,তৰকাৰী
আটাহ,চিঞৰ
আত্মা,রূহ
আথৰ,আলৰ
আথৰ,জৰাতুৰ
আদহ,মাজ বয়স
আদহ,আদ-বয়স
আদৰ,সন্মান
আদৰ,শ্ৰদ্ধা
আদৰ,মান
আদৰ,কদৰ
আদৰ,সমাদৰ
আদৰ,সাদৰ
আদৰ,ইজ্জত
আধিপত্য,মালিকীস্বত্ব
আধিপত্য,মালিকানা
আধৰুৱা,খঁৰা
আধৰুৱা,আদখনীয়া
আধৰুৱা,অসম্পূৰ্ণ
আধৰুৱা,আধাডুখৰীয়া
আধৰুৱা,অসমাপ্ত
আধৰুৱা,অপূৰ্ণ
আধৰুৱা,অসম্পন্ন
আন,বেলেগ
আপা,ছলি
আপা,ল’ৰা
আপা,ছলি
আপা,ল’ৰা
আপী,ঝিয়া
আপুনি,নিজে
আপোন,নিজৰ
আপোন,নিজা
আপোন,নিজ
আপোন,আপোনাৰ
আপোন,স্ব
আপোন,স্বকীয়
আপোন,মিতিৰ
আপোন,কুটুম
আপোন,বঙহ
আপোন,অঙহী-বঙহী
আপোন,আত্মীয়
আপোন,সম্পৰ্কীয়
আপোন,সম্বন্ধীয়
আমি,আমিৰা
আয়,উপাৰ্জন
আলগ,বেলেগ
আলগ,সূকীয়া
আলগ,দোছোৰা
আলসুৱা,লেহুকা
আলসুৱা,আলফুলীয়া
আলসুৱা,ঠুনুকা
আলসুৱা,চনকা
আলসুৱা,ভংগুৰ
আলসুৱা,চনচনীয়া
আলসুৱা,ঠুনঠুনীয়া
আলসুৱা,সুকোমল
আলসুৱা,আতোলতোল
আলসুৱা,আলৌলৌৱা
আলসুৱা,সুখীয়া
আলি,বাট
আলি,আলিবাট
আলি,ৰাস্তা
আলি,পথ
আলি,ৰাহ
আৰু,আকৌ
আৰু,-ও
আৰু,তথা
ঈশ্বৰ,ভগৱান
ঈশ্বৰ,প্ৰভু
ঈশ্বৰ,আল্লা
ঈহ,ডিলা
উঁহ,পুং
উঁহ,পানীচকু
উঁহ,জৰণি
উঁহ,পুং
উখৰা,শুকান
উঘাল,উভাল
উজলা,জিলিকা
উজলা,তিৰবিৰোৱা
উজলা,জিকমিকোৱা
উজলা,চিকমিকোৱা
উদং,নাঙঠ
উদং,উলংগ
উপত্যকা,ভৈয়াম
উপায়,সমাধান
উভাল,উঘাল
উলূ,শৰণ খেৰ
উলূ,ঘৰছোৱা বন
একনায়ক,একাধিপতি
একনায়ক,মাতব্বৰ
একাধিপতি,একনায়ক
একাধিপতি,মাতব্বৰ
এঙাৰ,অঙঠা
এৰ,বাদ দে
এৰ,পৰিহৰ
এৰ,বিছুৰ
এৰা,বাদ দিয়া
এৰা,পৰিহৰা
এৰা,বিছুৰা
ওঁ,অ
ওঁ,হয়
ওকণি,লেখি
ওকণি,বিঢ়া
ওকণি,ফুটনি
ওকণি,পিজলা
ওকণি,চেখৰা
ওখ,হটঙা
ওখ,চৰা
ওখ,তুংগ
ওখ,উচ্চ
ওখ,উচ্চতা
ওখল,মলি
ওখল,ময়লা
ওজা,যাদুকৰ
ওৰ,শেষ
ওৰ,সামৰণি
ওৰ,সাং
ওৰ,ইতি
ওৰ,খতম
ওৰ,অন্ত
ওৰ,সমাপ্তি
কঁটা,হুল
কঁটা,মঘা
কঁপা,লৰা
কঁহ,মামৰ
কঁহ,মৰিচা
কইনা,ন-বোৱাৰী
কইনা,ন-ছোৱালী
ককা,দাদা
ককা,দদা
কটি,টিকা
কটি,তপিনা
কণী,ডিম
কণী,ডিমা
কপাহ,তুলা
কলহ,টেকেলি
কলহ,ঘটি
কলহ,চৰু
কাঁইট,হুল
কাঁইট,মঘা
কাঁকৈ,ফণি
কাঁচ,ছিছা
কাঁটা,হুল
কাঁটা,মঘা
কাকৈ,ফণী
কাচ,ছিছা
কানি,আফিং
কানি,কাপোৰ
কাপুৰ,কানি
কাপোৰ,কানি
কালি,কাইলৈ
কাহিনী,সাধু
কাহিনী,গল্প
কিছু,অলপ
কিয়,কেলেই
কিয়,কি কাৰণে
কিয়,কি নিমিত্তে
কিয়,কিহৰ কাৰণে
কিলাকুটি,কিল
কুঁজ,চুট
কুঁৱা,নাদ
কুঁৱা,লান্দ
কুঁৱা,লাহ্না
কুঁৱা,ইন্দ্রা
কুঁৱা,পাটকি
কুঁৱা,পাটনাদ
কুঁৱৰী,ৰাজকুমাৰী
কুঁৱৰী,ৰাণী
কুটা,থহা
কুটা,থাহা
কুটুম,মিতিৰ
কুটুম,আপোন
কুটুম,বঙহ
কুমাৰ,হিৰা
কৃষ্ণ,ক’লা
কেঁথা,দগলা
কেঁথা,নিহালি
কেন্দ্ৰ,মাজ
কোঁৱৰ,ৰাজকুমাৰ
কোদাল,কোৰ
কোদাল,কোৰোণা
কোৰ,কোদাল
কোৰ,কোদালি
কোৱা,কথা কোৱা
খং,ৰাগ
খং,ফাই
খং,কোপ
খং,ক্ৰোধ
খা,পি
খা,পি খা
খা,হুপ
খাল,নলা
খাল,লোৰ
খাল,নলা
খাৰু,চুড়ি
খাৰু,টাৰ
খীৰ,খিৰিসা
খীৰ,গাখীৰ
খীৰ,দুধ
খীৰ,গাখীৰ
খীৰ,দুধ
খুদ,সৰু
খুদ,অকণমান
খুদ,অকণমানি
খুৰা,দদাই
খেৰ,নৰা
খৰ,খৰালি
গঢ়া,গঢ় দিয়া
গঢ়া,সজা
গঢ়া,বনোৱা
গণা,হিচাপ কৰা
গণিত,অংক
গম,ঘেঁহু
গল,ডিঙি
গা,দেহা
গা,শৰীৰ
গা,কায়া
গাঁৰ,বিহ-ফোঁহোৰা
গাঁৰু,বালিছ
গাং,নৈ
গাউ,দেহা
গাউ,শৰীল
গাধ,মূৰ্খ
গু,হগা
গু,পাইখেনা
গু,শৌচ
গু,মল
গু,গোবৰ
গুটি,বীজ
গুপ্ত,গোপন
গুপ্ত,লুকুৱা
গুৰি,গোৰ
গুৰি,শিপা
গুৰি,ওচৰ
গুৰি,লাথ
গুৰি,গোৰ
গুৰুবাৰ,বৃহস্পতিবাৰ
গেলা,পচা
গেলা,পচা
গোপন,গুপ্ত
গোপন,লুকুৱা
গোবৰ,গু
গোল,ঘূৰণীয়া
গোল,টুপুৰা
গোল,ধেপেচা
গোল,নোদোকা
গোল,লোদোৰ-পোদোৰ
গোল,লোধোমা
গোল,নিপোটল
গোল,লোধোপা
গোল,নোকোহা
গোল,থোলোকা
গোল,মঙহাল
গোল,দবহা
