loan_word,original_word,other_etymology,other_meaning
bar,*barsaz,germanic,A bass
baud,bald,old french,A type of hunting dog
bogue,bolc'h,breton,chestnut burr
bol,bol,middle french,bolus
bugle,bugle,old french,"bugle, bugleweed"
bunker,Bunker,german,bunker
camp,champ,norman,camp
car,quer,old french,"as, since, because, for"
cent,cent,middle french,hundred
chai,plural,occitan,wine cellar
chat,chat,middle french,cat
court,curt,old french,short
date,date,old french,date
fixe,fīxus,latin,fixed
jet,get,old french,throw
joint,iūnctus,latin,seal
mail,malleus,latin,maul
métal,metallum,latin,metal
Nancy,Nanciacum,medieval latin,Nancy
nope,noppe,middle dutch,A tuft of wool
orque,orca,latin,killer whale
pimper,pimper,old french,to dress well
pot,pot,middle french,"pot, jar, vase, tin, can, carton"
rave,rāpa,latin,"beet, turnip"
rider,rider,middle french,to wrinkle
Roy,roy,old french,A surname​
staff,staffieren,german,"staff, mixture of plaster and fibre"
supporter,supportō,latin,to support
test,test,old french,"test, a cupel or cupelling hearth in which precious metals are melted for trial and refinement"
troll,troll,swedish,troll
van,vannus,latin,a winnowing basket
