,Word,Is loan?
3,अंदर,
9,अगर,
28,अब्र,X
58,आफ़त,X
59,आफ़ताब,X
63,आबदस्त,X
76,आसान,
92,इफ़्तिताह,X
107,कद्दू,
125,क़ब्ज़ा,
136,क़ानूनी,
138,क़ाबिल,X
151,क़ैद,
152,क़ैदख़ाना,
154,कागद,X
190,ख़त,
197,ख़मीर,X
203,ख़रीदना,
217,ख़ानदान,
221,ख़ामी,X
223,ख़ामोशी,X
266,गवाही,X
268,ग़ज़ब,X
277,ग़ुस्सा,X
294,गुफ़्तगू,X
306,गुस्ताख़ी,X
308,गोर,X
317,चरागाह,X
321,चाय,X
323,चायदान,X
344,जनाज़ा,X
361,ज़ंजीर,X
363,ज़ख़ीरा,X
367,ज़बानी,X
368,ज़ब्त,X
374,ज़र,X
379,ज़र्द,X
389,ज़ार-ज़ार,X
390,ज़िंदगानी,X
397,ज़िम्मेदार,X
414,जायज़,X
422,जुदा,X
425,जुमा,X
431,तंगी,X
448,तपेदिक़,X
449,तबदील,X
468,तराशा,
485,ताज,X
510,तोती,
516,दंगा,
527,दरगाह,X
543,दर्रा,
549,दहलीज़,X
559,दिक़्क़त,X
575,दुश्मनी,
580,देह,
586,दौलतमंद,
587,नक़ल,
595,नजूमी,X
608,नवाज़,X
611,नसीहत,X
612,नस्तालीक़,X
627,नायाब,X
633,निवाला,X
653,परगना,X
663,परेशान,
666,पलीता,X
672,पहलू,X
680,पीरू,X
684,पुल,
699,फ़तह,X
700,फ़रमान,X
703,फ़रिश्ता,X
717,फ़ारसी,X
719,फ़ाश,X
721,फ़िक्र,X
723,फ़िरंगी,
724,फ़ीसद,
726,फ़ेहरिस्त,X
727,फ़ैसला,
744,बदतरीन,X
751,बनाम,X
755,बराबर,
782,बारीक,X
799,बुत-ख़ाना,X
803,बुलबुल,
815,बेरूख़ी,X
816,बेलचा,X
828,मग़ज़,
840,मददगार,
850,मरीज़,
853,मर्द,
901,मुअल्लिमी,X
905,मुख़ालिफ़त,X
914,मुरदा,
927,मुहाक़,X
945,मौला,X
968,रक़्स,X
983,रिआया,X
993,रुख़सार,X
1016,लब,X
1020,लाजवर्द,X
1032,वग़ैरह,
1034,वतन,
1075,शहीद,
1076,शागिर्द,X
1087,शिकंजा,X
1096,शीरी,X
1097,शीशा,X
1112,संदल,X
1116,सख़्त,
1122,सनसनीख़ेज़,
1127,सब्ज़ी,
1133,सरदार,X
1149,सही,
1160,सालाना,X
1176,सीना,
1200,स्याही,
1206,हज़ारहा,X
1209,हम,
1214,हयात,X
1220,हलवा,
1236,हिलाल,X
1243,हैरत,X
1244,हैरान,
